store_id,format,region,monthly_sales
1,Kirana,South,19557
2,Wholesale,South,124761
3,Modern Trade,West,97489
4,Kirana,North,55992
5,Kirana,North,11797
6,Kirana,East,69573
7,Kirana,West,72247
8,Convenience,East,23068
9,Modern Trade,South,10177
10,Modern Trade,North,65497
11,Kirana,East,105917
12,Wholesale,East,17946
13,Convenience,North,53753
14,Kirana,South,18333
15,Kirana,East,17672
16,Kirana,East,39845
17,Kirana,West,15996
18,Kirana,West,31538
19,Kirana,North,73826
20,Kirana,North,8420
21,Modern Trade,South,58644
22,Kirana,South,37600
23,Kirana,East,44913
24,Kirana,West,35035
25,Kirana,South,80739
26,Modern Trade,East,43132
27,Kirana,East,24687
28,Kirana,North,37705
29,Kirana,West,23627
30,Kirana,East,18734
31,Modern Trade,North,69042
32,Kirana,East,23726
33,Kirana,West,6506
34,Convenience,East,45259
35,Wholesale,East,24826
36,Convenience,South,91202
37,Kirana,South,50663
38,Kirana,North,88210
39,Modern Trade,East,57719
40,Kirana,North,70307
41,Kirana,West,43510
42,Kirana,North,60398
43,Kirana,East,16598
44,Convenience,South,57527
45,Kirana,South,9984
46,Modern Trade,North,31623
47,Kirana,South,20721
48,Kirana,East,40019
49,Kirana,East,23236
50,Kirana,West,10363
51,Wholesale,South,9466
52,Modern Trade,South,11243
53,Convenience,West,40797
54,Convenience,North,41922
55,Kirana,West,23169
56,Convenience,South,46359
57,Kirana,North,29272
58,Kirana,East,44003
59,Kirana,East,33143
60,Kirana,West,59071
61,Kirana,East,16348
62,Kirana,South,5337
63,Convenience,West,29500
64,Kirana,South,35767
65,Kirana,South,13285
66,Kirana,North,15449
67,Kirana,North,49709
68,Convenience,North,50631
69,Kirana,East,28506
70,Wholesale,North,7359
71,Modern Trade,South,48362
72,Kirana,West,35475
73,Kirana,West,21067
74,Convenience,South,63405
75,Modern Trade,East,2586
76,Modern Trade,West,31701
77,Modern Trade,South,48803
78,Kirana,South,10071
79,Kirana,South,9113
80,Kirana,West,96691
81,Convenience,West,50214
82,Modern Trade,North,81124
83,Kirana,North,60329
84,Kirana,South,41336
85,Kirana,South,105212
86,Kirana,South,38160
87,Modern Trade,South,29788
88,Modern Trade,West,60376
89,Convenience,North,64151
90,Kirana,East,45665
91,Kirana,South,21047
92,Modern Trade,North,60196
93,Modern Trade,South,20716
94,Kirana,West,33947
95,Modern Trade,East,15395
96,Kirana,North,16287
97,Kirana,North,29123
98,Kirana,East,42271
99,Kirana,West,102632
100,Kirana,East,19275
101,Kirana,North,34853
102,Modern Trade,East,30319
103,Kirana,West,43452
104,Kirana,West,25879
105,Convenience,South,50883
106,Kirana,East,14525
107,Kirana,East,32621
108,Modern Trade,North,41785
109,Kirana,West,66702
110,Kirana,East,51545
111,Kirana,North,32069
112,Kirana,South,16307
113,Convenience,East,110993
114,Convenience,East,18291
115,Modern Trade,North,10980
116,Convenience,North,19925
117,Convenience,West,8962
118,Kirana,West,41451
119,Convenience,West,31914
120,Kirana,East,27057
121,Convenience,North,29620
122,Convenience,West,20965
123,Kirana,East,4748
124,Kirana,West,60459
125,Kirana,South,22589
126,Kirana,East,9349
127,Convenience,West,6283
128,Convenience,West,75720
129,Kirana,South,24600
130,Kirana,South,24124
131,Kirana,West,44914
132,Kirana,West,21065
133,Kirana,North,8752
134,Kirana,West,19358
135,Convenience,West,38176
136,Kirana,North,19237
137,Kirana,North,15704
138,Modern Trade,West,12500
139,Kirana,North,42131
140,Wholesale,East,37405
141,Wholesale,South,46063
142,Kirana,East,27180
143,Kirana,South,22380
144,Kirana,South,16403
145,Kirana,West,24760
146,Kirana,South,6711
147,Modern Trade,East,39463
148,Kirana,West,22975
149,Kirana,North,65402
150,Kirana,East,30537
151,Convenience,West,4595
152,Kirana,South,35859
153,Kirana,East,112940
154,Kirana,South,42032
155,Wholesale,West,54534
156,Kirana,West,70120
157,Modern Trade,North,15175
158,Modern Trade,North,28057
159,Kirana,East,15853
160,Modern Trade,North,50141
161,Kirana,South,16025
162,Modern Trade,South,27008
163,Modern Trade,North,53109
164,Kirana,North,49747
165,Kirana,North,35382
166,Convenience,East,70663
167,Kirana,East,52913
168,Kirana,South,19433
169,Kirana,East,9077
170,Kirana,East,14512
171,Modern Trade,West,55250
172,Kirana,South,41677
173,Kirana,South,71173
174,Kirana,North,44824
175,Modern Trade,West,53755
176,Kirana,North,39057
177,Modern Trade,East,18830
178,Kirana,South,18091
179,Convenience,East,14642
180,Kirana,East,18872
181,Kirana,West,72391
182,Kirana,West,49094
183,Convenience,South,27496
184,Convenience,South,42600
185,Kirana,West,42149
186,Modern Trade,West,76592
187,Convenience,West,25429
188,Kirana,West,37430
189,Kirana,South,54043
190,Kirana,South,18677
191,Kirana,East,80940
192,Convenience,East,52257
193,Convenience,East,14525
194,Modern Trade,South,99206
195,Kirana,North,70760
196,Kirana,East,47806
197,Modern Trade,North,5322
198,Convenience,North,21520
199,Convenience,North,35578
200,Modern Trade,West,37581
201,Modern Trade,South,33526
202,Kirana,South,11065
203,Kirana,East,26398
204,Convenience,East,28464
205,Modern Trade,South,4203
206,Kirana,West,47553
207,Kirana,South,86922
208,Modern Trade,North,29992
209,Kirana,South,48157
210,Kirana,West,14787
211,Kirana,South,40862
212,Modern Trade,South,41373
213,Modern Trade,South,65583
214,Kirana,North,74175
215,Modern Trade,East,47745
216,Kirana,West,19204
217,Kirana,North,18621
218,Modern Trade,South,73661
219,Modern Trade,South,12075
220,Convenience,East,21405
221,Modern Trade,East,45314
222,Kirana,East,85102
223,Kirana,North,89669
224,Kirana,West,2897
225,Kirana,East,39901
226,Kirana,South,31536
227,Wholesale,West,16577
228,Kirana,South,2606
229,Convenience,South,31372
230,Modern Trade,West,11842
231,Modern Trade,North,44129
232,Kirana,West,33561
233,Kirana,East,5427
234,Kirana,West,27554
235,Kirana,East,8822
236,Modern Trade,East,38603
237,Kirana,West,50922
238,Kirana,West,23758
239,Modern Trade,East,71278
240,Kirana,South,39115
241,Convenience,West,32874
242,Wholesale,North,33292
243,Convenience,East,27547
244,Kirana,South,26751
245,Kirana,West,11513
246,Convenience,West,81702
247,Kirana,South,27282
248,Wholesale,North,89674
249,Wholesale,East,50290
250,Convenience,West,29258
251,Kirana,North,35566
252,Kirana,East,50921
253,Convenience,North,61242
254,Kirana,East,32466
255,Kirana,East,57713
256,Kirana,North,49683
257,Convenience,East,51232
258,Modern Trade,West,57825
259,Kirana,West,20597
260,Kirana,North,75824
261,Modern Trade,North,41748
262,Wholesale,East,61130
263,Kirana,East,32400
264,Kirana,North,38246
265,Convenience,South,20540
266,Modern Trade,North,13498
267,Modern Trade,South,28421
268,Modern Trade,South,52459
269,Kirana,North,21026
270,Kirana,North,7737
271,Convenience,North,67702
272,Convenience,South,11972
273,Convenience,West,40837
274,Convenience,West,96728
275,Kirana,North,189415
276,Kirana,North,29460
277,Modern Trade,East,68369
278,Modern Trade,East,41246
279,Modern Trade,East,15236
280,Modern Trade,North,27653
281,Convenience,West,22487
282,Kirana,West,66653
283,Kirana,North,94236
284,Kirana,North,24613
285,Kirana,South,7989
286,Kirana,South,37294
287,Kirana,West,16117
288,Kirana,East,13216
289,Kirana,West,19269
290,Kirana,South,18101
291,Kirana,West,44003
292,Kirana,South,51127
293,Convenience,South,40512
294,Kirana,East,16055
295,Kirana,East,16440
296,Kirana,South,31292
297,Modern Trade,North,25658
298,Kirana,East,33657
299,Modern Trade,South,42997
300,Kirana,North,31019
301,Kirana,North,48449
302,Kirana,West,38271
303,Kirana,West,49999
304,Modern Trade,East,12509
305,Modern Trade,North,6839
306,Wholesale,East,15611
307,Kirana,South,63664
308,Kirana,East,38458
309,Modern Trade,North,20711
310,Kirana,West,18363
311,Kirana,East,52073
312,Kirana,West,39111
313,Kirana,East,10780
314,Wholesale,South,10684
315,Convenience,North,48899
316,Modern Trade,East,20109
317,Kirana,South,8406
318,Kirana,South,8263
319,Kirana,South,44036
320,Kirana,West,20945
321,Kirana,West,54780
322,Modern Trade,South,34424
323,Modern Trade,South,23839
324,Kirana,East,32934
325,Wholesale,East,102727
326,Modern Trade,North,14795
327,Kirana,East,70393
328,Modern Trade,North,49303
329,Kirana,North,21759
330,Kirana,North,49278
331,Kirana,West,37403
